condition	replicate	edge_id	parent	child	seed	run_dir	status	child_fasta
normal	1	E010	N05	N06	131010	runs/normal/rep_001/E010_N05_to_N06	completed	data/node_fastas/normal/rep_001/N06.fa
normal	1	E011	N06	S05	131011	runs/normal/rep_001/E011_N06_to_S05	completed	data/node_fastas/normal/rep_001/S05.fa
normal	1	E012	N06	S06	131012	runs/normal/rep_001/E012_N06_to_S06	completed	data/node_fastas/normal/rep_001/S06.fa
normal	1	E013	N05	N07	131013	runs/normal/rep_001/E013_N05_to_N07	completed	data/node_fastas/normal/rep_001/N07.fa
normal	1	E014	N07	S07	131014	runs/normal/rep_001/E014_N07_to_S07	completed	data/node_fastas/normal/rep_001/S07.fa
normal	1	E015	N07	S08	131015	runs/normal/rep_001/E015_N07_to_S08	completed	data/node_fastas/normal/rep_001/S08.fa
normal	1	E016	root	N08	131016	runs/normal/rep_001/E016_root_to_N08	completed	data/node_fastas/normal/rep_001/N08.fa
normal	1	E017	N08	N09	131017	runs/normal/rep_001/E017_N08_to_N09	completed	data/node_fastas/normal/rep_001/N09.fa
normal	1	E018	N09	N10	131018	runs/normal/rep_001/E018_N09_to_N10	completed	data/node_fastas/normal/rep_001/N10.fa
normal	1	E019	N10	S09	131019	runs/normal/rep_001/E019_N10_to_S09	completed	data/node_fastas/normal/rep_001/S09.fa
normal	1	E020	N10	S10	131020	runs/normal/rep_001/E020_N10_to_S10	completed	data/node_fastas/normal/rep_001/S10.fa
normal	1	E021	N09	N11	131021	runs/normal/rep_001/E021_N09_to_N11	completed	data/node_fastas/normal/rep_001/N11.fa
normal	1	E022	N11	S11	131022	runs/normal/rep_001/E022_N11_to_S11	completed	data/node_fastas/normal/rep_001/S11.fa
normal	1	E023	N11	S12	131023	runs/normal/rep_001/E023_N11_to_S12	completed	data/node_fastas/normal/rep_001/S12.fa
normal	1	E024	N08	N12	131024	runs/normal/rep_001/E024_N08_to_N12	completed	data/node_fastas/normal/rep_001/N12.fa
normal	1	E025	N12	N13	131025	runs/normal/rep_001/E025_N12_to_N13	completed	data/node_fastas/normal/rep_001/N13.fa
normal	1	E026	N13	S13	131026	runs/normal/rep_001/E026_N13_to_S13	completed	data/node_fastas/normal/rep_001/S13.fa
normal	1	E027	N13	S14	131027	runs/normal/rep_001/E027_N13_to_S14	completed	data/node_fastas/normal/rep_001/S14.fa
normal	1	E028	N12	N14	131028	runs/normal/rep_001/E028_N12_to_N14	completed	data/node_fastas/normal/rep_001/N14.fa
normal	1	E029	N14	S15	131029	runs/normal/rep_001/E029_N14_to_S15	completed	data/node_fastas/normal/rep_001/S15.fa
normal	1	E030	N14	S16	131030	runs/normal/rep_001/E030_N14_to_S16	completed	data/node_fastas/normal/rep_001/S16.fa
high	1	E001	root	N01	141001	runs/high/rep_001/E001_root_to_N01	completed	data/node_fastas/high/rep_001/N01.fa
high	1	E002	N01	N02	141002	runs/high/rep_001/E002_N01_to_N02	completed	data/node_fastas/high/rep_001/N02.fa
high	1	E003	N02	N03	141003	runs/high/rep_001/E003_N02_to_N03	completed	data/node_fastas/high/rep_001/N03.fa
high	1	E004	N03	S01	141004	runs/high/rep_001/E004_N03_to_S01	completed	data/node_fastas/high/rep_001/S01.fa
high	1	E005	N03	S02	141005	runs/high/rep_001/E005_N03_to_S02	completed	data/node_fastas/high/rep_001/S02.fa
high	1	E006	N02	N04	141006	runs/high/rep_001/E006_N02_to_N04	completed	data/node_fastas/high/rep_001/N04.fa
high	1	E007	N04	S03	141007	runs/high/rep_001/E007_N04_to_S03	completed	data/node_fastas/high/rep_001/S03.fa
high	1	E008	N04	S04	141008	runs/high/rep_001/E008_N04_to_S04	completed	data/node_fastas/high/rep_001/S04.fa
high	1	E009	N01	N05	141009	runs/high/rep_001/E009_N01_to_N05	completed	data/node_fastas/high/rep_001/N05.fa
high	1	E010	N05	N06	141010	runs/high/rep_001/E010_N05_to_N06	completed	data/node_fastas/high/rep_001/N06.fa
high	1	E011	N06	S05	141011	runs/high/rep_001/E011_N06_to_S05	completed	data/node_fastas/high/rep_001/S05.fa
high	1	E012	N06	S06	141012	runs/high/rep_001/E012_N06_to_S06	completed	data/node_fastas/high/rep_001/S06.fa
high	1	E013	N05	N07	141013	runs/high/rep_001/E013_N05_to_N07	completed	data/node_fastas/high/rep_001/N07.fa
high	1	E014	N07	S07	141014	runs/high/rep_001/E014_N07_to_S07	completed	data/node_fastas/high/rep_001/S07.fa
high	1	E015	N07	S08	141015	runs/high/rep_001/E015_N07_to_S08	completed	data/node_fastas/high/rep_001/S08.fa
high	1	E016	root	N08	141016	runs/high/rep_001/E016_root_to_N08	completed	data/node_fastas/high/rep_001/N08.fa
high	1	E017	N08	N09	141017	runs/high/rep_001/E017_N08_to_N09	completed	data/node_fastas/high/rep_001/N09.fa
high	1	E018	N09	N10	141018	runs/high/rep_001/E018_N09_to_N10	completed	data/node_fastas/high/rep_001/N10.fa
high	1	E019	N10	S09	141019	runs/high/rep_001/E019_N10_to_S09	completed	data/node_fastas/high/rep_001/S09.fa
high	1	E020	N10	S10	141020	runs/high/rep_001/E020_N10_to_S10	completed	data/node_fastas/high/rep_001/S10.fa
high	1	E021	N09	N11	141021	runs/high/rep_001/E021_N09_to_N11	completed	data/node_fastas/high/rep_001/N11.fa
high	1	E022	N11	S11	141022	runs/high/rep_001/E022_N11_to_S11	completed	data/node_fastas/high/rep_001/S11.fa
high	1	E023	N11	S12	141023	runs/high/rep_001/E023_N11_to_S12	completed	data/node_fastas/high/rep_001/S12.fa
high	1	E024	N08	N12	141024	runs/high/rep_001/E024_N08_to_N12	completed	data/node_fastas/high/rep_001/N12.fa
high	1	E025	N12	N13	141025	runs/high/rep_001/E025_N12_to_N13	completed	data/node_fastas/high/rep_001/N13.fa
high	1	E026	N13	S13	141026	runs/high/rep_001/E026_N13_to_S13	completed	data/node_fastas/high/rep_001/S13.fa
high	1	E027	N13	S14	141027	runs/high/rep_001/E027_N13_to_S14	completed	data/node_fastas/high/rep_001/S14.fa
high	1	E028	N12	N14	141028	runs/high/rep_001/E028_N12_to_N14	completed	data/node_fastas/high/rep_001/N14.fa
high	1	E029	N14	S15	141029	runs/high/rep_001/E029_N14_to_S15	completed	data/node_fastas/high/rep_001/S15.fa
high	1	E030	N14	S16	141030	runs/high/rep_001/E030_N14_to_S16	completed	data/node_fastas/high/rep_001/S16.fa
very_high	1	E001	root	N01	151001	runs/very_high/rep_001/E001_root_to_N01	completed	data/node_fastas/very_high/rep_001/N01.fa
very_high	1	E002	N01	N02	151002	runs/very_high/rep_001/E002_N01_to_N02	completed	data/node_fastas/very_high/rep_001/N02.fa
very_high	1	E003	N02	N03	151003	runs/very_high/rep_001/E003_N02_to_N03	completed	data/node_fastas/very_high/rep_001/N03.fa
very_high	1	E004	N03	S01	151004	runs/very_high/rep_001/E004_N03_to_S01	completed	data/node_fastas/very_high/rep_001/S01.fa
very_high	1	E005	N03	S02	151005	runs/very_high/rep_001/E005_N03_to_S02	completed	data/node_fastas/very_high/rep_001/S02.fa
very_high	1	E006	N02	N04	151006	runs/very_high/rep_001/E006_N02_to_N04	completed	data/node_fastas/very_high/rep_001/N04.fa
very_high	1	E007	N04	S03	151007	runs/very_high/rep_001/E007_N04_to_S03	completed	data/node_fastas/very_high/rep_001/S03.fa
very_high	1	E008	N04	S04	151008	runs/very_high/rep_001/E008_N04_to_S04	completed	data/node_fastas/very_high/rep_001/S04.fa
very_high	1	E009	N01	N05	151009	runs/very_high/rep_001/E009_N01_to_N05	completed	data/node_fastas/very_high/rep_001/N05.fa
very_high	1	E010	N05	N06	151010	runs/very_high/rep_001/E010_N05_to_N06	completed	data/node_fastas/very_high/rep_001/N06.fa
very_high	1	E011	N06	S05	151011	runs/very_high/rep_001/E011_N06_to_S05	completed	data/node_fastas/very_high/rep_001/S05.fa
very_high	1	E012	N06	S06	151012	runs/very_high/rep_001/E012_N06_to_S06	completed	data/node_fastas/very_high/rep_001/S06.fa
